Reading, Time (micro), X Coord, Y Coord
317,3772808,0.53131,0.395069
318,3784500,0.559045,0.38736
319,3795417,0.586707,0.378995
320,3806127,0.610654,0.370856
321,3817829,0.630086,0.363622
322,3829000,0.646152,0.357121
323,3839512,0.659901,0.351453
324,3851059,0.672329,0.346304
325,3862099,0.683676,0.342205
326,3872692,0.693398,0.338556
327,3884528,0.701454,0.335396
328,3895317,0.708296,0.332181
329,3905917,0.714306,0.329205
330,3917865,0.719443,0.326182
331,3928673,0.723743,0.323673
332,3939461,0.727687,0.321213
333,3951153,0.731552,0.31969
334,3962374,0.735106,0.318332
335,3972835,0.738161,0.317083
336,3984480,0.740854,0.315558
337,3995289,0.743466,0.313982
338,4006175,0.745793,0.312619
339,4018045,0.74809,0.311536
340,4028688,0.749879,0.310869
341,4039439,0.751671,0.310199
342,4051204,0.753067,0.309597
343,4061992,0.754568,0.309084
344,4072787,0.755942,0.308843
345,4084651,0.757094,0.308606
346,4095332,0.758067,0.308215
347,4105953,0.758903,0.307795
348,4117611,0.759787,0.307471
349,4128689,0.760692,0.307133
350,4139217,0.761588,0.30687
351,4151101,0.762363,0.306826
352,4161904,0.763152,0.307056
353,4172674,0.763889,0.307516
354,4184337,0.764621,0.307809
355,4195439,0.765224,0.307889
356,4205849,0.765769,0.307787
357,4217691,0.766467,0.307874
358,4228509,0.767079,0.30835
359,4239228,0.766649,0.309295
360,4251277,0.761506,0.310602
361,4261980,0.743632,0.312572
362,4272485,0.712379,0.314809
363,4283983,0.679657,0.31691
364,4295186,0.652079,0.31876
365,4305938,0.628903,0.320417
366,4317558,0.609051,0.322051
367,4328645,0.592262,0.323392
368,4339076,0.578095,0.324692
369,4350814,0.566124,0.325871
370,4361863,0.55576,0.326732
371,4372418,0.546986,0.327392
372,4384178,0.53953,0.327904
373,4395108,0.533166,0.328338
374,4405798,0.527579,0.328584
375,4417611,0.522775,0.328718
376,4428471,0.518389,0.329246
377,4439235,0.514508,0.330043
378,4451512,0.511187,0.331094
379,4461933,0.508246,0.332
380,4472141,0.505589,0.332851
381,4483987,0.50333,0.333386
382,4494933,0.50228,0.333789
383,4505722,0.502155,0.333918
384,4517502,0.502495,0.333811
385,4528320,0.502483,0.333843
386,4539176,0.502492,0.334102
387,4550576,0.502508,0.334326
388,4561752,0.502221,0.33431
389,4572272,0.501966,0.334075
390,4583994,0.501765,0.334022
391,4594799,0.50248,0.333941
392,4605826,0.503153,0.333893
393,4617500,0.503704,0.33374
394,4628629,0.503729,0.333434
395,4638935,0.503747,0.333132
396,4650660,0.503674,0.333082
397,4661550,0.503863,0.333077
398,4672251,0.504062,0.33282
399,4683883,0.504318,0.332401
400,4694843,0.50436,0.332167
401,4705818,0.504342,0.332176
402,4717174,0.504345,0.332122
403,4728364,0.503943,0.332073
404,4738916,0.503553,0.331885
405,4750466,0.503082,0.331753
406,4761726,0.502824,0.331623
407,4772124,0.502626,0.331519
408,4783721,0.502457,0.331206
409,4794881,0.502274,0.331108
410,4805771,0.502127,0.331336
411,4817159,0.50202,0.332068
412,4828110,0.502162,0.332932
413,4839031,0.502237,0.333556
414,4850585,0.502288,0.334395
415,4861472,0.502253,0.334952
416,4872293,0.502254,0.335358
417,4883900,0.50221,0.334905
418,4894784,0.502179,0.33432
419,4905448,0.502109,0.333905
420,4917396,0.502023,0.333887
421,4928187,0.499489,0.33248
422,4938652,0.490251,0.327498
423,4950399,0.469563,0.316453
424,4961296,0.424106,0.296714
425,4972040,0.359209,0.2733
426,4983646,0.303214,0.252528
427,4994738,0.258205,0.2342
428,5005728,0.222853,0.218453
429,5017150,0.193661,0.204499
430,5027984,0.169761,0.193333
431,5038755,0.150608,0.183405
432,5050438,0.135035,0.174814
433,5061587,0.122462,0.166906
434,5072201,0.111848,0.159893
435,5083439,0.102874,0.153423
436,5094710,0.0951439,0.146741
437,5105433,0.0886665,0.140867
438,5116860,0.0835408,0.135524
439,5127943,0.0791871,0.131267
440,5138600,0.075323,0.127418
441,5150271,0.0719543,0.124091
442,5162566,0.069033,0.121347
443,5171896,0.0663666,0.118626
444,5183562,0.0634564,0.116123
445,5194560,0.0610865,0.11335
446,5205237,0.0592635,0.110998
447,5217068,0.0579745,0.109233
448,5227852,0.0567239,0.107808
449,5238527,0.0554809,0.106511
450,5250092,0.0543221,0.104812
451,5261079,0.0528036,0.102929
452,5272727,0.050229,0.100657
453,5283475,0.0471644,0.0983187
454,5294361,0.044157,0.0962659
