Reading, Time (micro), X Coord, Y Coord,
37738,427132845,0.493715,0.582081,
37739,427143853,0.495787,0.582673,
37740,427154336,0.497741,0.583163,
37741,427166042,0.499393,0.583528,
37742,427177097,0.500991,0.583744,
37743,427187705,0.502402,0.583973,
37744,427199389,0.503938,0.584581,
37745,427210419,0.505564,0.585049,
37746,427220920,0.507081,0.585331,
37747,427232720,0.508627,0.585143,
37748,427243743,0.509902,0.584976,
37749,427254258,0.511037,0.585123,
37750,427265993,0.513026,0.585392,
37751,427277021,0.516416,0.585443,
37752,427287640,0.520727,0.585066,
37753,427299271,0.524641,0.584582,
37754,427310485,0.527973,0.584469,
37755,427320925,0.531227,0.584561,
37756,427332668,0.53442,0.584791,
37757,427343779,0.537524,0.584715,
37758,427354220,0.540322,0.58443,
37759,427365935,0.542869,0.584069,
37760,427377157,0.545175,0.583833,
37761,427387517,0.547396,0.583996,
37762,427399267,0.549338,0.584361,
37763,427410432,0.550769,0.5847,
37764,427420864,0.552103,0.584604,
37765,427432549,0.553262,0.584264,
37766,427443714,0.55456,0.583741,
37767,427454122,0.555814,0.583318,
37768,427465743,0.555768,0.58323,
37769,427476824,0.551715,0.584852,
37770,427487412,0.539578,0.58853,
37771,427499107,0.520924,0.593641,
37772,427510352,0.501792,0.59897,
37773,427520626,0.484687,0.604496,
37774,427532600,0.469621,0.60964,
37775,427543502,0.456262,0.614414,
37776,427553943,0.444784,0.618664,
37777,427565766,0.435236,0.622114,
37778,427576810,0.426558,0.624933,
37779,427587236,0.418771,0.627541,
37780,427599116,0.411416,0.630189,
37781,427610118,0.405267,0.633063,
37782,427620521,0.399866,0.635725,
37783,427632383,0.395423,0.63832,
37784,427643352,0.391442,0.64037,
37785,427653935,0.387903,0.642099,
37786,427665534,0.384232,0.643592,
37787,427676624,0.38075,0.645111,
37788,427687083,0.377635,0.646596,
37789,427699000,0.374331,0.648269,
37790,427710054,0.370302,0.650576,
37791,427720570,0.365486,0.654283,
37792,427732317,0.361047,0.659932,
37793,427743318,0.357335,0.665885,
37794,427753652,0.353721,0.671769,
37795,427765636,0.349897,0.676982,
37796,427776672,0.345499,0.682004,
37797,427787204,0.341783,0.68611,
37798,427798920,0.338615,0.68927,
37799,427809884,0.3364,0.692036,
37800,427820360,0.334333,0.695058,
37801,427832221,0.332528,0.698051,
37802,427843284,0.330743,0.70084,
37803,427853743,0.329148,0.703184,
37804,427865563,0.327842,0.705184,
37805,427876596,0.32681,0.707219,
37806,427887115,0.325955,0.709495,
37807,427898820,0.325083,0.712046,
37808,427909958,0.324234,0.714195,
37809,427920316,0.323378,0.71568,
37810,427932885,0.322572,0.716547,
37811,427943166,0.321708,0.717265,
37812,427953674,0.320892,0.718042,
37813,427965387,0.320161,0.719208,
37814,427976485,0.31937,0.72054,
37815,427986951,0.318633,0.721951,
37816,427998683,0.317773,0.722739,
37817,428009793,0.317266,0.723169,
37818,428020322,0.316815,0.723365,
37819,428032038,0.316491,0.723721,
37820,428043229,0.316012,0.724056,
37821,428053711,0.315524,0.724141,
37822,428065416,0.315097,0.724476,
37823,428076350,0.31478,0.726629,
37824,428086849,0.314546,0.731733,
37825,428098533,0.314597,0.739578,
37826,428109631,0.3149,0.746444,
37827,428120175,0.315235,0.752461,
37828,428132022,0.315353,0.757457,
37829,428143017,0.315433,0.762276,
37830,428153450,0.315529,0.766598,
37831,428165169,0.315604,0.770596,
37832,428176348,0.31566,0.774406,
37833,428186837,0.315739,0.778036,
37834,428198651,0.315854,0.781314,
37835,428209786,0.315784,0.784434,
37836,428220119,0.315651,0.787317,
37837,428231805,0.315861,0.789773,
37838,428243040,0.316191,0.791509,
37839,428253468,0.316513,0.792468,
37840,428265220,0.316684,0.793133,
37841,428276216,0.316729,0.793833,
37842,428286673,0.316765,0.79508,
37843,428298396,0.316755,0.796617,
37844,428309729,0.31681,0.798168,
37845,428320023,0.31707,0.799481,
37846,428331797,0.320256,0.801197,
37847,428342954,0.326866,0.802917,
37848,428353419,0.336557,0.804584,
37849,428365171,0.345548,0.806011,
37850,428376068,0.353445,0.807906,
37851,428386747,0.360786,0.809827,
37852,428398517,0.36781,0.811598,
37853,428409449,0.374498,0.813086,
37854,428420005,0.380415,0.814611,
37855,428431807,0.385409,0.816005,
37856,428442807,0.389865,0.817036,
37857,428453272,0.393962,0.817953,
37858,428465013,0.397427,0.818842,
37859,428476172,0.400409,0.819705,
37860,428486628,0.403072,0.820452,
37861,428498305,0.405709,0.821371,
37862,428509389,0.408285,0.82225,
37863,428519974,0.410744,0.823107,
37864,428531717,0.412727,0.823734,
37865,428542814,0.414386,0.82477,
37866,428553214,0.415942,0.825925,
37867,428564926,0.417949,0.827313,
37868,428575994,0.419834,0.828304,
37869,428586538,0.421504,0.829061,
37870,428598242,0.422923,0.829316,
37871,428609294,0.424261,0.829485,
37872,428619746,0.426078,0.829485,
37873,428631495,0.429526,0.829521,
37874,428642654,0.433751,0.82952,
37875,428653162,0.438668,0.829605,
37876,428664904,0.442738,0.829755,
37877,428675913,0.446979,0.829843,
37878,428686375,0.450883,0.829669,
37879,428698184,0.454003,0.829431,
37880,428709301,0.456869,0.829293,
37881,428719733,0.459515,0.829472,
37882,428731443,0.462077,0.829792,
37883,428742492,0.46464,0.830013,
37884,428753046,0.466918,0.830044,
37885,428764713,0.469065,0.82992,
37886,428775752,0.470908,0.829624,
37887,428786399,0.472738,0.829491,
37888,428798155,0.47434,0.829603,
37889,428809131,0.476195,0.82979,
37890,428819678,0.479324,0.829821,
